,CODIGO PROVINCIA,PROVINCIA,Denominacion,VOTOS,Sector
269,21,SANTA FE,VOTOS RECURRIDOS,317,
270,10,JUJUY,VOTOS RECURRIDOS,308,
271,7,CHUBUT,VOTOS RECURRIDOS,303,
272,22,SANTIAGO DEL ESTERO,VOTOS IMPUGNADOS,300,
273,13,MENDOZA,VOTOS IMPUGNADOS,276,
274,14,MISIONES,VOTOS RECURRIDOS,255,
275,8,ENTRE RIOS,VOTOS IMPUGNADOS,241,
276,18,SAN JUAN,VOTOS IMPUGNADOS,223,
277,16,RIO NEGRO,VOTOS IMPUGNADOS,217,
278,5,CORRIENTES,VOTOS RECURRIDOS,209,
279,8,ENTRE RIOS,VOTOS RECURRIDOS,209,
280,3,CATAMARCA,VOTOS RECURRIDOS,205,
281,14,MISIONES,VOTOS IMPUGNADOS,199,
282,3,CATAMARCA,VOTOS IMPUGNADOS,194,
283,7,CHUBUT,VOTOS IMPUGNADOS,174,
284,6,CHACO,VOTOS RECURRIDOS,168,
285,23,TUCUMAN,VOTOS IMPUGNADOS,154,
286,19,SAN LUIS,VOTOS IMPUGNADOS,151,
287,5,CORRIENTES,VOTOS IMPUGNADOS,147,
288,16,RIO NEGRO,VOTOS RECURRIDOS,145,
289,24,TIERRA DEL FUEGO,VOTOS RECURRIDOS,131,
290,9,FORMOSA,VOTOS IMPUGNADOS,124,
291,22,SANTIAGO DEL ESTERO,VOTOS RECURRIDOS,114,
292,20,SANTA CRUZ,VOTOS RECURRIDOS,112,
293,6,CHACO,VOTOS IMPUGNADOS,112,
294,9,FORMOSA,VOTOS RECURRIDOS,101,
295,12,LA RIOJA,VOTOS RECURRIDOS,92,
296,10,JUJUY,VOTOS IMPUGNADOS,92,
297,11,LA PAMPA,VOTOS IMPUGNADOS,88,
298,15,NEUQUEN,VOTOS IMPUGNADOS,83,
299,12,LA RIOJA,VOTOS IMPUGNADOS,53,
300,20,SANTA CRUZ,VOTOS IMPUGNADOS,52,
301,11,LA PAMPA,VOTOS RECURRIDOS,50,
302,24,TIERRA DEL FUEGO,VOTOS IMPUGNADOS,11,
303,,,VOTANTES,,VOTANTES
304,,,ELECTORES,,ELECTORES
